Epoch,Learn_LateTrain_Loss,Val_Loss,Step_time
1,0.0005,69.05704247635023,76.5901758424167,721.0133411884308
2,0.0005,68.57377794991552,82.0868390181969,633.1322605609894
3,0.0005,68.46450344018177,78.69498782322324,632.9484446048737
4,0.0005,69.59752571899278,74.90766066518323,632.7629642486572
5,0.0005,67.2302384123338,75.44682229798416,637.384866476059
6,0.0005,66.97813141662462,78.44641119858315,628.5729315280914
7,0.0005,66.3280116224711,73.62044257131116,634.106029510498
8,0.0005,68.55597422186253,74.8009546871843,636.7919611930847
9,0.0005,68.13405644155182,74.77850466761096,633.0246896743774
10,0.0005,66.15433628369222,74.47001358558391,634.1299846172333
11,0.00025,66.65796537736875,74.41595225498594,631.284348487854
12,0.00025,70.36547876037328,72.6376081170707,636.7271127700806
13,0.00025,64.71084967756693,70.32907853455379,630.1577198505402
14,0.00025,64.20271121506143,71.66233218127283,610.8889849185944
15,0.00025,63.69150174402558,68.7328802963783,612.1259753704071
16,0.00025,63.867062994864135,67.58872948021724,611.5620982646942
17,0.00025,62.98008397195191,67.24942496727253,615.7343099117279
18,0.00025,63.12941526733668,69.44895875865015,612.3637459278107
19,0.00025,63.746680934872245,66.82230620548643,607.6579444408417
20,0.00025,64.60767191068261,66.47434553606757,622.2855386734009
21,0.00025,65.01310087305255,66.97294157126854,618.8951723575592
22,0.00025,65.04323830646752,66.22235615500088,613.4122316837311
23,0.00025,62.27071322804004,66.58876088569905,619.0521831512451
24,0.00025,64.72089818726599,65.51096316041618,633.6075253486633
25,0.00025,61.81876841688578,65.48948246857216,626.8522017002106
26,0.00025,64.02219104766846,66.12385248315745,616.3398287296295
27,0.00025,62.28466983601055,65.18917335312942,617.5007772445679
28,0.00025,61.59015815869897,67.4013902647742,614.7863178253174
29,0.00025,61.50081632411585,66.13886223990342,614.1500918865204
30,0.00025,62.10837704312485,66.11159469341409,614.6766176223755
31,0.00025,61.15110153434551,64.28687758281313,611.4492721557617
32,0.00025,60.8820075060414,64.26020906711447,613.7002437114716
33,0.00025,65.04506993926732,64.61564901779438,612.7223377227783
34,0.00025,61.166751861572266,65.81400851545662,610.113799571991
35,0.00025,60.81219730334999,65.84862024208596,614.317501783371
36,0.000125,61.10297667663709,64.42296531282622,614.9349339008331
37,0.000125,60.92796224408445,64.0616596649433,608.3133001327515
38,0.000125,61.12400310651391,64.0478448621158,608.0809595584869
39,0.000125,62.32501954103993,65.70984126781595,606.332275390625
40,0.000125,60.23040936267481,63.75475863752694,608.8205187320709
41,0.000125,60.62443524335338,64.34992548515056,608.4071724414825
42,0.000125,60.29766468875176,63.52911901473999,606.3684048652649
43,0.000125,59.59806399429794,63.63205497840355,607.8605272769928
44,0.000125,60.255358400598034,64.27156382593616,609.4149250984192
45,0.000125,59.86727124399844,64.0756016353081,611.2077777385712
46,6.25e-05,60.29279080745393,63.842405483640476,609.5192720890045
47,6.25e-05,60.18737608563583,63.56079448502639,607.4194231033325
48,6.25e-05,60.40711774235278,63.609935670063415,608.0587749481201
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
